Column1;Column2;Column3;Column4;Column5;Column6
2141503; M¥¯ NIE M¥¯ ale Z³ota R¹czka NA PEWNO ; Poznañ, Wielkopolskie, Wilda ;  ;  ; https://www.olx.pl/oferta/maz-nie-maz-ale-zlota-raczka-na-pewno-CID619-ID8Z6n.html#f229f921e1
2141503; M¥¯ NIE M¥¯ ale Z³ota R¹czka NA PEWNO ; Poznañ, Wielkopolskie, Wilda ;  ;  ; https://www.olx.pl/oferta/maz-nie-maz-ale-zlota-raczka-na-pewno-CID619-ID8Z6n.html#f229f921e1
2141503; M¥¯ NIE M¥¯ ale Z³ota R¹czka NA PEWNO ; Poznañ, Wielkopolskie, Wilda ;  ;  ; https://www.olx.pl/oferta/maz-nie-maz-ale-zlota-raczka-na-pewno-CID619-ID8Z6n.html#f229f921e1
12967665; \\\\\ = Przewóz == Transport== Mebli = Przeprowadzki = Taxi Baga¿owe ; P³ock, Mazowieckie ;  ;  ; https://www.olx.pl/oferta/przewoz-transport-mebli-przeprowadzki-taxi-bagazowe-CID619-IDSptT.html#f229f921e1
12967665; \\\\\ = Przewóz == Transport== Mebli = Przeprowadzki = Taxi Baga¿owe ; P³ock, Mazowieckie ;  ;  ; https://www.olx.pl/oferta/przewoz-transport-mebli-przeprowadzki-taxi-bagazowe-CID619-IDSptT.html#f229f921e1
12967665; \\\\\ = Przewóz == Transport== Mebli = Przeprowadzki = Taxi Baga¿owe ; P³ock, Mazowieckie ;  ;  ; https://www.olx.pl/oferta/przewoz-transport-mebli-przeprowadzki-taxi-bagazowe-CID619-IDSptT.html#f229f921e1
12967665; \\\\\ = Przewóz == Transport== Mebli = Przeprowadzki = Taxi Baga¿owe ; P³ock, Mazowieckie ;  ;  ; https://www.olx.pl/oferta/przewoz-transport-mebli-przeprowadzki-taxi-bagazowe-CID619-IDSptT.html#f229f921e1
12967665; \\\\\ = Przewóz == Transport== Mebli = Przeprowadzki = Taxi Baga¿owe ; P³ock, Mazowieckie ;  ;  ; https://www.olx.pl/oferta/przewoz-transport-mebli-przeprowadzki-taxi-bagazowe-CID619-IDSptT.html#f229f921e1
12967665; \\\\\ = Przewóz == Transport== Mebli = Przeprowadzki = Taxi Baga¿owe ; P³ock, Mazowieckie ;  ;  ; https://www.olx.pl/oferta/przewoz-transport-mebli-przeprowadzki-taxi-bagazowe-CID619-IDSptT.html#f229f921e1
25770797; Kociêta Rosyjskie Niebieskie -du¿a wyprawka-Rodowód -rekomendacja SHK ; Toruñ, Kujawsko-pomorskie ;  ;  ; https://www.olx.pl/oferta/kocieta-rosyjskie-niebieskie-duza-wyprawka-rodowod-rekomendacja-shk-CID103-ID1K8a1.html#4f221a335d
25770797; Kociêta Rosyjskie Niebieskie -du¿a wyprawka-Rodowód -rekomendacja SHK ; Toruñ, Kujawsko-pomorskie ;  ;  ; https://www.olx.pl/oferta/kocieta-rosyjskie-niebieskie-duza-wyprawka-rodowod-rekomendacja-shk-CID103-ID1K8a1.html#f229f921e1
25770797; Kociêta Rosyjskie Niebieskie -du¿a wyprawka-Rodowód -rekomendacja SHK ; Toruñ, Kujawsko-pomorskie ;  ;  ; https://www.olx.pl/oferta/kocieta-rosyjskie-niebieskie-duza-wyprawka-rodowod-rekomendacja-shk-CID103-ID1K8a1.html#f229f921e1
25770797; Kociêta Rosyjskie Niebieskie -du¿a wyprawka-Rodowód -rekomendacja SHK ; Toruñ, Kujawsko-pomorskie ;  ;  ; https://www.olx.pl/oferta/kocieta-rosyjskie-niebieskie-duza-wyprawka-rodowod-rekomendacja-shk-CID103-ID1K8a1.html#f229f921e1
28977001; Pod³¹czenie kuchenki gazowej, p³yty gazowej, Warszawa , gazownik 100z³ ; Warszawa, Mazowieckie, Œródmieœcie ;  ;  ; https://www.olx.pl/oferta/podlaczenie-kuchenki-gazowej-plyty-gazowej-warszawa-gazownik-100zl-CID619-ID1XAeZ.html#f229f921e1
28977001; Pod³¹czenie kuchenki gazowej, p³yty gazowej, Warszawa , gazownik 100z³ ; Warszawa, Mazowieckie, Œródmieœcie ;  ;  ; https://www.olx.pl/oferta/podlaczenie-kuchenki-gazowej-plyty-gazowej-warszawa-gazownik-100zl-CID619-ID1XAeZ.html#f229f921e1
28977001; Pod³¹czenie kuchenki gazowej, p³yty gazowej, Warszawa , gazownik 100z³ ; Warszawa, Mazowieckie, Œródmieœcie ;  ;  ; https://www.olx.pl/oferta/podlaczenie-kuchenki-gazowej-plyty-gazowej-warszawa-gazownik-100zl-CID619-ID1XAeZ.html#f229f921e1
28977001; Pod³¹czenie kuchenki gazowej, p³yty gazowej, Warszawa , gazownik 100z³ ; Warszawa, Mazowieckie, Œródmieœcie ;  ;  ; https://www.olx.pl/oferta/podlaczenie-kuchenki-gazowej-plyty-gazowej-warszawa-gazownik-100zl-CID619-ID1XAeZ.html#f229f921e1
28977001; Pod³¹czenie kuchenki gazowej, p³yty gazowej, Warszawa , gazownik 100z³ ; Warszawa, Mazowieckie, Œródmieœcie ;  ;  ; https://www.olx.pl/oferta/podlaczenie-kuchenki-gazowej-plyty-gazowej-warszawa-gazownik-100zl-CID619-ID1XAeZ.html#f229f921e1
38506057; Frezowanie (usuwanie) pni, wycinka drzew i krzewów, wywóz ga³êzi ; Wroc³aw, Dolnoœl¹skie, Fabryczna ;  ;  ; https://www.olx.pl/oferta/frezowanie-usuwanie-pni-wycinka-drzew-i-krzewow-wywoz-galezi-CID619-ID2Bzbr.html#f229f921e1
38506057; Frezowanie (usuwanie) pni, wycinka drzew i krzewów, wywóz ga³êzi ; Wroc³aw, Dolnoœl¹skie, Fabryczna ;  ;  ; https://www.olx.pl/oferta/frezowanie-usuwanie-pni-wycinka-drzew-i-krzewow-wywoz-galezi-CID619-ID2Bzbr.html#f229f921e1
39126731; In¿ynieria procesowa. Laboratorium - G. Bartelmus, D. Janecki, M. Kos ; Olsztyn, Warmiñsko-mazurskie ;  ;  ; https://www.olx.pl/oferta/inzynieria-procesowa-laboratorium-g-bartelmus-d-janecki-m-kos-CID751-ID2EaEj.html#164e52e699
